	Section Designation		Mass	Radius		Area	Distance	Second Moment of Area			Radius of Gyration			Elastic	Torsional	Equivalent
UKA	25x25	4	1.45	3.50	1.75	1.85	0.736	1.02	1.61	0.430	0.741	0.931	0.482	0.586	0.1070	1.75
		3	1.12	3.50	1.75	1.42	0.723	0.803	1.27	0.334	0.751	0.945	0.484	0.452	0.0472	2.38
UKA	20x20	3	0.882	3.50	1.75	1.12	0.598	0.392	0.618	0.165	0.590	0.742	0.383	0.279	0.0382	1.81
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
	of 															
	Area 															
																
	Axis 															
																
	Axis 															
																
	"x-x, "															
	y-															
	y 															
																
	u-															
	u 															
																
	4															
																
	cm 															
																
																
	3331															
	2851															
	2600															
	2342															
	1050															
	898															
	737															
	624															
	445															
	368															
	313															
	256															
	249															
	207															
	177															
	145															
	148															
	127															
	104															
																
																
	92.6															
																
	Radius 															
	of 															
	Gyration 															
	Second 															
	Moment 															
																
	Elastic 															
	Modulus 															
	Axis 															
	"x-x, "															
	y-															
	y 															
																
																
	3															
																
	cm 															
	235															
	199															
	181															
	162															
																
																
	98.8															
																
	83.5															
																
	67.8															
																
	56.9															
																
																
	52.4															
																
	42.7															
																
	36															
																
	29.1															
																
																
	35.6															
																
	29.1															
																
	24.6															
																
	20															
																
																
	23.4															
																
	19.8															
																
	16.1															
																
	14.1															
																
	4															
																
	cm 															
	5280															
																
																
	4530															
																
	4150															
	3720															
	1680															
																
																
	1430															
																
	1170															
																
	990															
	710															
																
																
	584															
																
	497															
																
	411															
	395															
																
																
	328															
																
	280															
																
	230															
	235															
																
																
	201															
																
	166															
																
	147															
																
	Axis 															
	v-															
	v 															
																
	4															
																
	cm 															
	1380															
																
																
	1170															
																
	1050															
	960															
	440															
																
																
	370															
																
	303															
																
	258															
	186															
																
																
	152															
																
	129															
																
	107															
	105															
																
																
	85.7															
																
	73															
																
	59.9															
																
																
	62															
																
	52.6															
																
	43.1															
																
	38.3															
																
	Axis 															
	"x-x, "															
	y-															
	y 															
																
	cm 															
																
																
	6.06															
																
	6.11															
																
	6.13															
																
	6.16															
																
																
	4.54															
																
	4.57															
																
	4.6															
																
	4.62															
																
																
	3.62															
																
	3.65															
																
	3.67															
																
	3.69															
																
																
	2.98															
																
	3.02															
																
	3.04															
																
	3.06															
																
																
	2.7															
																
	2.72															
																
	2.74															
																
	2.75															
																
	Axis 															
	u-															
	u 															
																
	cm 															
																
																
	7.64															
																
	7.7															
																
	7.75															
																
	7.76															
																
																
	5.73															
																
	5.76															
																
	5.8															
																
	5.82															
																
																
	4.57															
																
	4.6															
																
	4.63															
																
	4.67															
																
																
	3.76															
																
	3.8															
																
	3.83															
																
	3.85															
																
																
	3.4															
																
	3.42															
																
	3.45															
																
	3.46															
																
	Axis 															
	v-															
	v 															
																
	cm 															
																
																
	3.9															
																
	3.92															
																
	3.9															
																
	3.94															
																
																
	2.92															
																
	2.93															
																
	2.95															
																
	2.97															
																
																
	2.34															
																
	2.35															
																
	2.36															
																
	2.38															
																
																
	1.94															
																
	1.94															
																
	1.95															
																
	1.96															
																
																
	1.75															
																
	1.75															
																
	1.76															
																
	1.77															
																
																
	file:															
	/															
	/C:															
	\															
	Program 															
	Files\															
	Tata 															
	Steel\BlueBook\															
	Content\															
	BS\															
	SectProp\															
	UKA 															
	-															
	Equal 															
	(SectProp).htm?Fl=16&															
	Fl2=															
	2															
	11/23/															
	2011															
																
																
	Torsional 															
	Constant 															
																
																
	J 															
																
																
	4															
																
	cm 															
	182															
	107															
																
																
	78.9															
																
	56.1															
																
																
	58.6															
																
	34.6															
																
	18.2															
																
	10.8															
																
																
	27															
																
	14.2															
																
	8.41															
																
	4.44															
																
																
	22.3															
																
	11.8															
																
	6.97															
																
	3.68															
																
																
	10.46															
																
	6.2															
																
	3.28															
																
	2.24															
																
																
	Equivalent 															
	Slenderness 															
	Coefficient 															
																
																
	F 															
																
																
	a 															
																
																
	2.5															
																
	3.05															
																
	3.43															
																
	3.85															
																
																
	2.48															
																
	3.01															
																
	3.77															
																
	4.51															
																
																
	2.37															
																
	2.99															
																
	3.61															
																
	4.56															
																
																
	1.92															
																
	2.44															
																
	2.94															
																
	3.7															
																
																
	2.17															
																
	2.64															
																
	3.33															
																
	3.8															
																
	Table 															
	1.1.5.1. 															
	Section 															
	Properties. 															
	Advance															
	? 															
	UKA 															
	-															
	Equal. 															
	Dimensions 															
	and 															
	Properties 															
	? 															
	"2006-2011, "															
	Tata 															
	Steel 															
	Europe 															
	Limited 															
																
																
